시군구,등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),RFID종류_내장형,RFID종류_외장형,RFID종류_인식표,등록품종수,동물소유자수,동물소유자당동물등록수,합계,미승인,반려
천안시,3478,29687,0,15024,13439,4702,154,25181,1.32,33165,0,35
공주시,320,3558,0,2342,1093,443,98,2756,1.41,3878,0,6
보령시,59,3773,0,1395,1587,850,104,2791,1.37,3832,0,2
아산시,1390,18012,0,9003,8471,1928,141,12661,1.53,19402,0,8
서산시,1123,6701,0,3228,3583,1013,116,5715,1.37,7824,0,2
논산시,196,4662,0,2637,1378,843,101,3360,1.45,4858,0,10
금산군,102,1805,0,939,409,559,78,1275,1.5,1907,0,3
부여군,98,2605,0,1607,786,310,75,1862,1.45,2703,0,0
서천군,91,1346,0,752,633,52,75,1058,1.36,1437,0,1
청양군,126,790,0,533,272,111,66,637,1.44,916,0,0
홍성군,405,4333,0,1954,2526,258,96,3417,1.39,4738,0,1
예산군,2927,3014,0,1280,1646,3015,107,3791,1.57,5941,0,2
태안군,203,2457,0,1073,1394,193,87,1869,1.42,2660,0,2
계룡시,53,1872,0,1002,811,112,67,1535,1.25,1925,0,3
당진시,499,8519,0,4047,3624,1347,117,6236,1.45,9018,1,6
